wisdom	eg_1	eg_2	eg_3	eg_4	eg_5	eg_6	eg_7	eg_8	eg_9	eg_10
가는 날이 장날	한 달 전부터 기대하던 소풍날 아침에 굵은 빗방울이 떨어지기 시작했다.	도서관에 책을 빌리러 갔는데, 오늘부터 공사 중이라 빈손으로 돌아왔다.								
갈수록 태산	청년 실업률이 해마다 증가하면서 취업을 앞둔 사람들의 걱정	연구 과제.	시험을 앞두고 배가 아픈데, 화장실까지 모두 잠겨 있었다.	오늘 직장을 잃었는데, 집주인이 집세를 올려달라고 한다.						
꿩 대신 닭	교인대신 만만한 적객 몇을 골라 집어넣을 꾀를 낼 만도 했다	 녹차가 없으니 홍차를 마셔야지.								
등잔 밑이 어둡다	나는 옆방에 살면서도 전혀 알지 못했구나.									
소문난 잔치에 먹을 것 없다	맛집이라는 소문을 듣고 일부러 먼길을 달려왔는데 막상 먹어 보니 맛이 없더라.									
핑계 없는 무덤 없다	두 살배기 동생을 괴롭힌 것에도 정당한 이유가 있다는 말이니?									
고래 싸움에 새우 등 터진다	대기업에서 노사 갈등으로 파업을 하면 애꿎은 하청 업체만 피해를 보는 상황									
서당개 삼 년이면 풍월을 읊는다	나는 어릴 적부터 카센터에서 잡일을 도맡아 하다 보니 이젠 혼자서 자동차 수리도 할 수 있다.									
원숭이도 나무에서 떨어진다	3회 연속 올림픽 금메달리스트인 그 선수도 이번 경기에서는 실수를 하더라.									
산넘어 산	텐트나 담요 등 구호물자를 노린 약탈이 잇따르고 있다. 	일본어 공부는 하면 할수록 더 어려워.								
