,wisdom,eg
0,가는 날이 장날,하지만 가는 날이 장날이다.
1,가는 날이 장날,가는 날이 장날인지 날이 몹시 궂었다.
2,가는 날이 장날,고양시에 사는 맹렬 낚시꾼들이 추천한 집. 가는 날이 장날이라고 주인 이수뢰 여사가 몸이 아파 일찍 귀가했다.
3,가는 날이 장날,"'가는 날이 장날'에 비슷한 속담으로 '술 익자 체 장수 지나간다'를 알려주고, 'It never rains but pours(비가 왔다 하면 장대비)'라는 영어 속담을 곁들이는 식이다."
4,가는 날이 장날,가는 날이 장날이라고 우리가 이동하는 기간에 중국~몽골 기차가 정비관계로 1주일간 운행을 중단한다고 해서 40시간 버스를 타는 일정으로 급히 변경하기도 했습니다.
5,가는 날이 장날,우연히 어디를 갔다가 공교로운 일을 만났을 때 '가는 날이 장날'이라고 한다.
6,가는 날이 장날,'가는 날이 장날'이라 두툼한 솜이불 같은 운해가 마을을 뒤덮었습니다.
7,가는 날이 장날,가는 날이 장날이라고 가게는 내부수리 중이었습니다.
8,가는 날이 장날,"가던 날이 장날, 곡하다 웃는다, 윗입보다 아랫입이 크다, 도로아미타불, 똥 묻은 개가 겨 묻은 개 나무란다, 병신이 육갑한다, 피장파장, 눈 빠지게 기다린다, 삼대가 후레자식 등 우리가 흔히 사용하면서도 잘 몰랐던 말의 의미와 탄생 배경을 소상하게 알려준다."
9,가는 날이 장날,가는 날이 장날이었다.
10,가는 날이 장날,부푼 기대를 안고 수원지법으로 향했던 13일 오전 8시. '가는 날이 장날'이라더니 올가을 들어 첫 호우주의보가 발령돼 시간당 30mm가 넘는 비가 시야를 가렸습니다.
11,가는 날이 장날,"[사이언스 in 뉴스] 가는 날이 장날? ""왜 주말이면 비바람이 부냐고요"";실제론 주중에 더 많이 내립니다 과학으로 푼 비, 그 오해와 진실"
12,가는 날이 장날,가는 날이 장날(2·7일).
13,가는 날이 장날,'가는 날이 장날'이 아니라도 나물이 흔하다.
14,가는 날이 장날,"우거지상을 한 채 연인과의 행복한 춤이라니. 그런데 가는 날이 장날이라고 두 연인이 잔디밭에서 춤을 추고 있는데 난데없이 스프링클러가 작동하더니, 온 천지에 물벼락이 쏟아졌고 우리는 꼼짝없이 비 맞은 생쥐 꼴이 되고 말았다."
15,가는 날이 장날,"마침 가는 날이 장날이라고, 스님들이 분주하게 불사를 준비하고 있어 구경거리가 늘었다."
16,가는 날이 장날,◆잃어버린 38년=가는 날이 장날이었다.
17,가는 날이 장날,"""가는 날이 장날이다"""
18,가는 날이 장날,한데 가는 날이 장날이라고 공연을 본 지난 목요일 밤 공연의 주인공은 태연이 아니어서 그 인기 실황을 눈으로 확인하진 못했다.
19,가는 날이 장날,"그런데 가는 날이 장날이라고, 어찌나 사람이 많던지 줄을 서서 에스컬레이터를 타다 그나마 사람이 적은 부인복 코너 쪽을 도는 것에 만족해야 했다."
20,가는 날이 장날,가는 날이 장날이라고 촬영 팀이 간 날은 사장님이 외출 중이었다.
21,가는 날이 장날,③ 가는 날이 장날이다.
